sustancia_retc,cas,umbral_mpu_kg_anual,umbral_emision_transferencia_kg_anual,fuente_normativa,aplicable_columna_umbral,notas
Endosulfan técnico,115-29-7,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Endrin,72-20-8,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Epiclorohidrina,106-89-8,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Estireno (fenil-etileno),100-42-5,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Estreptozocina,18883-66-4,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Éter bis-cloro metílico,542-88-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Éter de 2,2',3,4,4',5',6 heptabromodifenilo (BDE-183)",207122-16-5,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Éter de 2,2'3,3',4,5',6 heptabromodifenilo (BDE-175)",446255-22-7,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Éter de 2,2'4,4'5,5' hexabromodifenilo (BDE-153)",68631-49-2,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Éter de 2,2'4,4'5,6' hexabromodifenilo (BDE-154)",207122-15-4,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Éter de pentabromodifenilo,32534-81-9,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Éter de tetrabromodifenilo,40088-47-9,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Etoxazole,153233-91-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Fenilfosfina,638-21-1,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Feniltiofosfato de O-etilo y O-4-nitrofenilo,2104-64-5,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Fenol,108-95-2,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Flocoumafen,90035-08-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Fluoruro de sulfonilo perfluorooctano,307-35-7,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Fonofos,944-22-9,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Formaldehído,50-00-0,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Fosfato de tris(2,3-dibromopropilo)",126-72-7,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Fosfato de tris(metilfenilo),1330-78-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Foxim,14816-18-3,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Furanos,,Cualquier cantidad superior a cero,Cualquier cantidad superior a cero,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Heptacloro,76-44-8,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Hexabromo-1,1'-bifenilo",36355-01-8,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hexaclorobenceno,118-74-1,Cualquier cantidad superior a cero,Cualquier cantidad superior a cero,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Hexaclorobuta-1,3-dieno",87-68-3,5,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hexaclorociclopentadieno,77-47-4,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hexacloroetano,67-72-1,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hexafluoruro de azufre,2551-62-4,5000,Cualquier cantidad superior a cero,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hidracina,302-01-2,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Hidrofluorocarbonos,,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Imaxamox,114311-32-9,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Imidacloprid,138261-41-3,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
"Indeno(1,2,3-c,d)pireno",193-39-5,50,5,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Indometacina,53-86-1,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Isobenzano,297-78-9,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
